s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
59.11477,20.989582,15.596268,1.734196,0.141435,4.066271,4.968425
59.314482,20.791907,15.562718,1.734152,-0.143157,4.303379,4.928628
59.514194,20.591559,15.534303,1.68572,-0.25979,4.526332,4.889151
59.713906,20.391157,15.516386,1.634577,-0.248855,4.737143,4.849989
59.913618,20.194982,15.508604,1.586592,-0.240322,4.937381,4.811142
60.11333,19.993171,15.510115,1.541467,-0.200159,5.128296,4.772605
60.313042,19.794335,15.519548,1.507276,-0.141174,5.310905,4.734378
60.512754,19.597361,15.534404,1.485851,-0.080701,5.486049,4.696456
60.712466,19.398238,15.552693,1.473996,-0.037391,5.654433,4.658838
60.912178,19.199984,15.572393,1.471008,0.007499,5.816654,4.621521
61.11189,19.002944,15.59169,1.476714,0.04931,5.973225,4.584504
61.311602,18.804337,15.609187,1.490384,0.086901,6.124588,4.547783
61.511314,18.604762,15.623304,1.511012,0.118358,6.27113,4.511356
61.711026,18.408379,15.632592,1.536902,0.144033,6.41319,4.47522
61.910738,18.206536,15.636351,1.568134,0.164357,6.55107,4.085725
62.11045,18.006577,15.633507,1.602166,0.173191,6.674463,-3.541464
62.310162,17.807537,15.623773,1.637457,0.182009,6.567641,-4.6843
62.509874,17.60654,15.606549,1.675612,0.197348,6.42362,-4.605111
62.709587,17.405552,15.581242,1.716782,0.207629,6.278814,-4.278031
62.909299,17.207452,15.547783,1.760019,0.2248,6.141234,-3.436527
63.109011,17.01517,15.506355,1.807006,0.255688,6.028442,-3.382745
63.308723,16.814156,15.452283,1.859831,0.249994,5.915316,-3.928031
63.508435,16.625231,15.390963,1.909552,0.253053,5.781178,-4.211499
63.708147,16.440674,15.320597,1.961021,0.265034,5.633813,-4.085467
63.907859,16.255863,15.238847,2.012546,0.23578,5.487077,-5.408104
64.107571,16.083455,15.15293,2.052206,0.215724,5.286576,-2.381494
64.307283,15.909098,15.055748,2.11175,0.376338,5.195831,-0.537075
64.506995,15.744253,14.947288,2.196297,0.44806,5.175146,-0.537075
64.706707,15.588436,14.823958,2.283937,0.434941,5.154378,-0.088121
64.906419,15.442981,14.686744,2.369144,0.396459,5.150963,0.948914
65.106131,15.310136,14.540274,2.437322,0.293552,5.187624,3.560432
65.305843,15.184071,14.383757,2.486831,0.21132,5.322928,4.731814
65.505555,15.068834,14.227454,2.524644,0.177445,5.497596,4.693913
65.705268,14.952327,14.057127,2.557442,0.14083,5.665547,4.656315
65.904979,14.847507,13.89408,2.582337,0.118637,5.827372,4.619019
66.104692,14.742969,13.722738,2.604788,0.10635,5.983579,4.582021
66.304404,14.639798,13.545088,2.625764,0.092512,6.134605,4.54532
66.504116,14.543163,13.371498,2.640244,0.054474,6.280836,4.508913
66.703828,14.447438,13.195027,2.647776,0.021011,6.422606,4.472797
66.90354,14.351611,13.016572,2.648744,-0.010784,6.560214,4.43697
67.103252,14.254571,12.836818,2.643288,-0.043743,6.693926,4.401431
67.302964,14.159196,12.663839,2.630728,-0.085898,6.823978,4.366176
67.502676,14.058339,12.488115,2.610011,-0.097016,6.950585,4.331204
67.702388,13.954147,12.314348,2.594362,-0.053838,7.07394,4.296512
67.9021,13.854519,12.15203,2.589796,-0.001888,7.194216,4.262097
68.101812,13.748397,11.980404,2.583882,-0.058782,7.311575,4.227958
68.301524,13.643365,11.814817,2.567182,-0.108119,7.426162,4.194093
68.501236,13.535532,11.652542,2.541559,-0.152056,7.53811,2.220189
68.700948,13.417528,11.486078,2.507328,-0.180666,7.596703,0.416517
68.90066,13.299367,11.331177,2.473008,-0.169217,7.607645,1.045721
69.100372,13.17174,11.175034,2.440053,-0.158246,7.635048,1.606222
69.300084,13.040032,11.023965,2.409618,-0.141582,7.676947,2.4739
69.499797,12.905506,10.8782,2.383576,-0.12192,7.741037,3.492443
69.699509,12.763721,10.731945,2.360367,-0.106641,7.830621,4.070348
69.899221,12.623117,10.592816,2.342728,-0.070521,7.933752,4.037746
70.098933,12.478932,10.454104,2.332104,-0.036285,8.034749,-6.628122
70.298645,12.332659,10.315432,2.328031,-0.003595,7.868275,-11.296175
70.498357,12.187987,10.178456,2.330909,0.032316,7.576133,-9.43574
70.698069,12.043626,10.039998,2.340929,0.067868,7.323178,-7.911758
70.897781,11.90088,9.899316,2.358025,0.101059,7.104138,-6.70882
71.097493,11.761068,9.755841,2.381211,0.130773,6.912967,-5.48514
71.297205,11.625716,9.609468,2.410439,0.162929,6.752646,-4.62766
71.496917,11.494286,9.457711,2.446108,0.188565,6.614365,-3.955094
71.696629,11.368668,9.301044,2.486124,0.210826,6.493848,-3.052877
71.896341,11.251614,9.141767,2.530432,0.238539,6.399271,-2.682942
72.096053,11.139238,8.972566,2.580661,0.253686,6.314985,-2.143771
72.295765,11.03738,8.800712,2.633081,0.27263,6.24682,-1.422872
72.495478,10.945902,8.625288,2.689588,0.29511,6.201164,-1.224473
72.69519,10.862445,8.439234,2.75058,0.303879,6.161603,-0.755288
72.894902,10.793852,8.257604,2.810888,0.318609,6.137074,-0.755288
73.094614,10.733673,8.061614,2.876345,0.31617,6.112446,-0.561991
73.294326,10.688269,7.871834,2.936624,0.29911,6.094056,0.147071
73.494038,10.653061,7.676568,2.984904,0.159794,6.098874,4.554086
73.69375,10.623814,7.479823,2.99633,-0.043324,6.246221,4.517608
73.893462,10.59618,7.293744,2.995292,0.04409,6.389031,4.481423
74.093174,10.567458,7.088806,3.011316,0.100096,6.527611,4.445527
74.292886,10.544385,6.89812,3.030983,0.101238,6.662233,4.409919
74.492598,10.524311,6.698926,3.051424,0.104017,6.793142,4.374597
74.69231,10.507682,6.488699,3.074152,0.107403,6.920556,4.339557
