# x_m, y_m, w_tr_right_m, w_tr_left_m
7.313657, -1.121145, 0.625000, 0.664384
7.194083, -1.292650, 0.643477, 0.676041
7.030086, -1.406409, 0.618718, 0.664384
6.871894, -1.651019, 0.643477, 0.664384
6.675681, -1.878834, 0.625000, 0.676041
6.409793, -1.983510, 0.637377, 0.750000
6.174677, -1.906828, 0.565962, 0.687500
5.993995, -1.910293, 0.615554, 0.687500
5.833854, -1.831260, 0.625000, 0.676041
5.652985, -1.593333, 0.615554, 0.643477
5.495899, -1.434220, 0.643477, 0.664384
4.564269, -2.533852, 0.673146, 1.064337
4.252124, -2.394106, 0.800391, 0.888292
4.105979, -2.025461, 0.698771, 0.783123
4.009264, -1.653922, 0.698771, 0.728869
5.120627, -0.497295, 0.643477, 0.698771
3.723971, -1.108959, 0.698771, 0.712610
3.631770, -0.834618, 0.698771, 0.728869
3.434758, -0.635238, 0.728869, 0.783123
3.303762, -0.426738, 0.773082, 0.833854
3.091240, -0.263290, 0.894864, 0.901388
3.030581, -0.071789, 0.910014, 0.970261
2.878806, 0.077564, 1.047691, 1.062500
2.777428, 0.228791, 1.068000, 1.140518
2.621960, 0.373217, 1.213530, 1.274755
2.548785, 0.579621, 1.227930, 1.288471
2.468414, 0.817829, 1.213530, 1.250000
2.436856, 1.102458, 1.185854, 1.187500
2.417016, 1.413339, 1.091516, 1.167596
2.369547, 1.740238, 1.047691, 1.107503
2.303907, 2.093729, 1.030776, 1.062500
2.278718, 2.465907, 0.910014, 1.000000
2.344387, 2.828291, 0.752600, 0.937500
4.121906, 2.512867, 0.628117, 0.690335
4.055127, 2.750158, 0.637377, 0.690335
3.976717, 3.021612, 0.637377, 0.690335
3.910673, 3.422479, 0.731544, 0.752600
3.976946, 3.619240, 0.762910, 0.850092
4.052419, 3.818990, 0.840852, 0.929129
4.390861, 3.946985, 0.790569, 0.838525
4.660826, 3.897186, 0.687500, 0.750000
4.927382, 3.811908, 0.637377, 0.698771
5.151104, 3.737807, 0.652519, 0.673146
5.345501, 3.636898, 0.615554, 0.673146
5.787790, 5.148025, 0.673146, 1.131923
6.019341, 5.110483, 0.783123, 0.910014
6.151033, 4.984236, 0.712610, 0.773082
6.228993, 4.967939, 0.673146, 0.752600
6.361150, 3.258099, 0.750000, 0.637377
6.573646, 3.264365, 0.750000, 0.637377
6.823290, 3.245039, 0.812500, 0.628117
7.073639, 3.258935, 0.698771, 0.625000
7.257536, 3.442522, 0.589624, 0.618718
7.408496, 3.646870, 0.589624, 0.618718
7.476006, 3.889313, 0.625000, 0.673146
7.548389, 4.101025, 0.625000, 0.687500
7.585034, 4.305921, 0.637377, 0.652519
7.595733, 4.506848, 0.625000, 0.698771
9.118805, 4.097390, 0.673146, 0.698771
9.175616, 4.387385, 0.762910, 0.773082
9.302169, 4.632391, 0.800391, 0.850092
9.363382, 4.880502, 0.760345, 0.822059
9.313717, 5.138828, 0.760345, 0.812500
9.302932, 5.378596, 0.698771, 0.755190
9.234285, 5.614138, 0.652519, 0.687500
7.815534, 5.969751, 0.652519, 0.750000
7.784149, 6.167479, 0.625000, 0.750000
7.799977, 6.362242, 0.637377, 0.752600
7.864213, 6.556743, 0.625000, 0.731544
7.877866, 6.755483, 0.625000, 0.750000
7.841370, 6.957740, 0.625000, 0.750000
7.854669, 7.157267, 0.637377, 0.760345
7.917813, 7.353223, 0.625000, 0.750000
7.930978, 7.552228, 0.625000, 0.750000
7.943958, 7.750956, 0.625000, 0.750000
7.906813, 7.953377, 0.625000, 0.750000
7.919174, 8.151659, 0.628117, 0.760345
7.931126, 8.349840, 0.673146, 0.812500
7.992509, 8.545735, 0.625000, 0.750000
8.003167, 8.742576, 0.625000, 0.750000
7.963046, 8.942628, 0.625000, 0.750000
7.971937, 9.140204, 0.625000, 0.750000
7.979925, 9.337131, 0.625000, 0.750000
9.486332, 9.484007, 0.664384, 0.687500
9.593179, 9.680430, 0.707107, 0.752600
9.649928, 9.876740, 0.795495, 0.840852
9.756831, 10.069679, 0.883883, 0.929129
9.814167, 10.262869, 0.988212, 1.000000
9.922052, 10.452328, 1.060660, 1.091516
9.980716, 10.642587, 1.152443, 1.126735
9.990345, 10.835387, 1.250000, 1.125000
10.001003, 11.031049, 1.328768, 1.125000
10.012348, 11.230283, 1.437500, 1.187500
10.023929, 11.433252, 1.502602, 1.187500
10.035230, 11.640371, 1.612936, 1.167596
10.045654, 11.852136, 1.692123, 1.131923
10.054520, 12.069249, 1.812500, 1.125000
10.060905, 12.292790, 1.900863, 1.125000
10.063681, 12.524916, 1.856155, 1.125000
10.061023, 12.769661, 1.750000, 1.125000
10.049964, 13.028162, 1.677051, 1.125000
10.026998, 13.300239, 1.622594, 1.125000
9.987733, 13.586702, 1.562500, 1.062500
9.927900, 13.884147, 1.562500, 1.000000
9.846758, 14.179726, 1.562500, 0.937500
9.741863, 14.475513, 1.625000, 0.812500
9.611651, 14.768742, 1.776584, 0.687500
8.230887, 14.279245, 0.625000, 0.687500
8.242687, 14.540952, 0.625000, 0.687500
8.258251, 14.851122, 0.625000, 0.687500
8.197132, 15.140617, 0.673146, 0.750000
8.047038, 15.344217, 0.676041, 0.752600
6.626072, 13.786645, 0.750000, 1.140518
7.711505, 15.533771, 0.673146, 0.731544
7.468854, 15.594649, 0.625000, 0.687500
7.192327, 15.542828, 0.637377, 0.687500
6.924566, 15.526163, 0.625000, 0.687500
6.700433, 15.521513, 0.625000, 0.652519
6.939171, 17.030251, 2.125000, 0.731544
6.635379, 17.115801, 2.257799, 0.875000
6.337455, 17.177110, 2.375822, 0.970261
6.047301, 17.217081, 2.476452, 1.000000
